instructor_name,label,company/profession,number_courses,avg_rating,courses_names,courses_ref
Parham Aarabi,Professor,NA,4,3.77,Introduction To Swift Programming -- iOS App Development Basics -- App Design and Development for iOS -- Build Your Own iOS App,https://www.coursera.org/learn/swift-programming -- https://www.coursera.org/learn/ios-app-development-basics -- https://www.coursera.org/learn/ios-app-design-development -- https://www.coursera.org/learn/build-app
David Van Kleeck,Professor in the Practice of Engineering Leadership,NA,3,4.57,Self Awareness and the Effective Leader -- Relationship Management -- Personal Leadership Development Planning and Leading High Performing Teams,https://www.coursera.org/learn/self-awareness -- https://www.coursera.org/learn/relationship-management -- https://www.coursera.org/learn/leadership-development-planning
Susan H. Rodger,Professor of the Practice,NA,5,4.6,"Programming Foundations with JavaScript, HTML and CSS -- Java Programming: Solving Problems with Software -- Java Programming: Arrays, Lists, and Structured Data -- Java Programming: Principles of Software Design -- Java Programming: Build a Recommendation System",https://www.coursera.org/learn/duke-programming-web -- https://www.coursera.org/learn/java-programming -- https://www.coursera.org/learn/java-programming-arrays-lists-data -- https://www.coursera.org/learn/java-programming-design-principles -- https://www.coursera.org/learn/java-programming-recommender
Robert Duvall,Lecturer,NA,5,4.6,"Programming Foundations with JavaScript, HTML and CSS -- Java Programming: Solving Problems with Software -- Java Programming: Arrays, Lists, and Structured Data -- Java Programming: Principles of Software Design -- Java Programming: Build a Recommendation System",https://www.coursera.org/learn/duke-programming-web -- https://www.coursera.org/learn/java-programming -- https://www.coursera.org/learn/java-programming-arrays-lists-data -- https://www.coursera.org/learn/java-programming-design-principles -- https://www.coursera.org/learn/java-programming-recommender
Owen Astrachan,Professor of the Practice,NA,5,4.6,"Programming Foundations with JavaScript, HTML and CSS -- Java Programming: Solving Problems with Software -- Java Programming: Arrays, Lists, and Structured Data -- Java Programming: Principles of Software Design -- Java Programming: Build a Recommendation System",https://www.coursera.org/learn/duke-programming-web -- https://www.coursera.org/learn/java-programming -- https://www.coursera.org/learn/java-programming-arrays-lists-data -- https://www.coursera.org/learn/java-programming-design-principles -- https://www.coursera.org/learn/java-programming-recommender
Andrew D. Hilton,Associate Professor of the Practice,NA,5,4.6,"Programming Foundations with JavaScript, HTML and CSS -- Java Programming: Solving Problems with Software -- Java Programming: Arrays, Lists, and Structured Data -- Java Programming: Principles of Software Design -- Java Programming: Build a Recommendation System",https://www.coursera.org/learn/duke-programming-web -- https://www.coursera.org/learn/java-programming -- https://www.coursera.org/learn/java-programming-arrays-lists-data -- https://www.coursera.org/learn/java-programming-design-principles -- https://www.coursera.org/learn/java-programming-recommender
Kristen Walcott-Justice,Assistant Professor,NA,5,4.3,Requirements Gathering for Secure Software Development -- Requirements Elicitation: Artifact and Stakeholder Analysis -- Requirements Specifications: Goals and Conflict Analysis -- Software Requirements Prioritization: Risk Analysis -- SRS Documents: Requirements and Diagrammatic Notations,https://www.coursera.org/learn/requirements-gathering-secure -- https://www.coursera.org/learn/requirements-elicitation -- https://www.coursera.org/learn/requirements-specification-goals -- https://www.coursera.org/learn/software-requirements-prioritization -- https://www.coursera.org/learn/srs-documents-requirements
Albert Glock,Instructor,NA,4,4.77,Software Design as an Element of the Software Development Lifecycle -- Software Design as an Abstraction -- Software Design Methods and Tools -- Software Design Threats and Mitigations,https://www.coursera.org/learn/software-design-development-life-cycle -- https://www.coursera.org/learn/software-design-abstraction -- https://www.coursera.org/learn/software-design-methods-tools -- https://www.coursera.org/learn/software-design-threats-mitigations
Kenny Wong,Associate Professor,NA,4,4.53,Object-Oriented Design -- Design Patterns -- Software Architecture -- Service-Oriented Architecture,https://www.coursera.org/learn/object-oriented-design -- https://www.coursera.org/learn/design-patterns -- https://www.coursera.org/learn/software-architecture -- https://www.coursera.org/learn/service-oriented-architecture
Jonas Hedman ,Associate Professor,NA,4,4.42,Digital Competition in Financial Services -- FinTech and the Transformation in Financial Services -- Innovation Strategy: Developing Your Fintech strategy -- Digital Transformation of Financial Services - Capstone Project,https://www.coursera.org/learn/digital-competition-financial-services -- https://www.coursera.org/learn/fintech-transformation-financial-services -- https://www.coursera.org/learn/innovation-strategy-fintech -- https://www.coursera.org/learn/digital-transformation-financial-services-project
